{first_ts=49000, cou=2, last_ts=51000, value=50.0, key=669}
{first_ts=49000, cou=2, last_ts=51000, value=46.0, key=482}
{first_ts=50000, cou=1, last_ts=51000, value=41.0, key=297}
{first_ts=50000, cou=1, last_ts=51000, value=43.0, key=422}
{first_ts=49000, cou=2, last_ts=51000, value=43.0, key=551}
{first_ts=49000, cou=3, last_ts=52000, value=50.0, key=352}
{first_ts=49000, cou=3, last_ts=52000, value=51.0, key=354}
{first_ts=51000, cou=1, last_ts=52000, value=38.0, key=382}
{first_ts=50000, cou=2, last_ts=52000, value=46.0, key=365}
{first_ts=50000, cou=2, last_ts=52000, value=42.0, key=177}
{first_ts=51000, cou=1, last_ts=52000, value=36.0, key=681}
{first_ts=51000, cou=1, last_ts=52000, value=36.0, key=683}
{first_ts=51000, cou=1, last_ts=52000, value=38.0, key=545}
{first_ts=50000, cou=2, last_ts=52000, value=44.0, key=629}
{first_ts=50000, cou=2, last_ts=52000, value=38.0, key=192}
{first_ts=50000, cou=2, last_ts=52000, value=43.0, key=581}
{first_ts=51000, cou=1, last_ts=52000, value=38.0, key=585}
{first_ts=51000, cou=1, last_ts=52000, value=39.0, key=504}
{first_ts=50000, cou=2, last_ts=52000, value=44.0, key=204}
{first_ts=50000, cou=2, last_ts=52000, value=41.0, key=502}
{first_ts=51000, cou=1, last_ts=52000, value=38.0, key=464}
{first_ts=51000, cou=1, last_ts=52000, value=40.0, key=690}
{first_ts=50000, cou=2, last_ts=52000, value=42.0, key=348}
{first_ts=50000, cou=2, last_ts=52000, value=44.0, key=209}
{first_ts=51000, cou=1, last_ts=52000, value=37.0, key=648}
{first_ts=50000, cou=2, last_ts=52000, value=41.0, key=435}
{first_ts=51000, cou=1, last_ts=52000, value=36.0, key=600}
{first_ts=51000, cou=2, last_ts=53000, value=42.0, key=224}
{first_ts=52000, cou=1, last_ts=53000, value=40.0, key=736}
{first_ts=51000, cou=2, last_ts=53000, value=42.0, key=566}
{first_ts=50000, cou=3, last_ts=53000, value=46.0, key=475}
{first_ts=52000, cou=1, last_ts=53000, value=35.0, key=535}
{first_ts=51000, cou=2, last_ts=53000, value=44.0, key=456}
{first_ts=52000, cou=1, last_ts=53000, value=41.0, key=520}
{first_ts=50000, cou=3, last_ts=53000, value=51.0, key=487}
{first_ts=51000, cou=2, last_ts=53000, value=43.0, key=459}
{first_ts=51000, cou=2, last_ts=53000, value=46.0, key=390}
{first_ts=51000, cou=2, last_ts=53000, value=40.0, key=560}
{first_ts=52000, cou=1, last_ts=53000, value=36.0, key=436}
{first_ts=51000, cou=2, last_ts=53000, value=40.0, key=320}
{first_ts=51000, cou=2, last_ts=53000, value=40.0, key=505}
{first_ts=52000, cou=1, last_ts=53000, value=40.0, key=527}
{first_ts=52000, cou=2, last_ts=54000, value=41.0, key=608}
{first_ts=51000, cou=3, last_ts=54000, value=47.0, key=419}
{first_ts=53000, cou=1, last_ts=54000, value=36.0, key=599}
{first_ts=52000, cou=2, last_ts=54000, value=54.0, key=557}
{first_ts=53000, cou=1, last_ts=54000, value=37.0, key=570}
{first_ts=53000, cou=1, last_ts=54000, value=40.0, key=587}
{first_ts=53000, cou=1, last_ts=54000, value=39.0, key=515}
{first_ts=52000, cou=2, last_ts=54000, value=43.0, key=319}
{first_ts=53000, cou=1, last_ts=54000, value=36.0, key=617}
{first_ts=52000, cou=2, last_ts=54000, value=46.0, key=525}
{first_ts=51000, cou=3, last_ts=54000, value=50.0, key=468}
{first_ts=53000, cou=1, last_ts=54000, value=42.0, key=681}
{first_ts=53000, cou=1, last_ts=54000, value=37.0, key=523}
{first_ts=53000, cou=1, last_ts=54000, value=42.0, key=765}
{first_ts=51000, cou=3, last_ts=54000, value=42.0, key=378}
{first_ts=53000, cou=1, last_ts=54000, value=43.0, key=181}
{first_ts=53000, cou=1, last_ts=54000, value=36.0, key=583}
{first_ts=53000, cou=1, last_ts=54000, value=35.0, key=249}
{first_ts=52000, cou=2, last_ts=54000, value=47.0, key=618}
{first_ts=52000, cou=2, last_ts=54000, value=38.0, key=573}
{first_ts=52000, cou=3, last_ts=55000, value=43.0, key=202}
{first_ts=54000, cou=1, last_ts=55000, value=42.0, key=736}
{first_ts=54000, cou=1, last_ts=55000, value=34.0, key=420}
{first_ts=53000, cou=2, last_ts=55000, value=40.0, key=529}
{first_ts=54000, cou=1, last_ts=55000, value=38.0, key=610}
{first_ts=54000, cou=1, last_ts=55000, value=37.0, key=654}
{first_ts=53000, cou=2, last_ts=55000, value=42.0, key=522}
{first_ts=54000, cou=1, last_ts=55000, value=36.0, key=539}
{first_ts=54000, cou=1, last_ts=55000, value=38.0, key=628}
{first_ts=53000, cou=2, last_ts=55000, value=45.0, key=683}
{first_ts=54000, cou=1, last_ts=55000, value=40.0, key=818}
{first_ts=54000, cou=1, last_ts=55000, value=42.0, key=317}
{first_ts=52000, cou=3, last_ts=55000, value=48.0, key=591}
{first_ts=54000, cou=1, last_ts=55000, value=36.0, key=616}
{first_ts=52000, cou=3, last_ts=55000, value=47.0, key=252}
{first_ts=52000, cou=3, last_ts=55000, value=47.0, key=322}
{first_ts=54000, cou=1, last_ts=55000, value=39.0, key=759}
{first_ts=55000, cou=1, last_ts=56000, value=35.0, key=741}
{first_ts=54000, cou=2, last_ts=56000, value=43.0, key=516}
{first_ts=54000, cou=2, last_ts=56000, value=40.0, key=688}
{first_ts=54000, cou=2, last_ts=56000, value=40.0, key=368}
{first_ts=54000, cou=2, last_ts=56000, value=45.0, key=580}
{first_ts=55000, cou=1, last_ts=56000, value=39.0, key=696}
{first_ts=55000, cou=1, last_ts=56000, value=40.0, key=848}
{first_ts=55000, cou=1, last_ts=56000, value=35.0, key=284}
{first_ts=54000, cou=2, last_ts=56000, value=42.0, key=646}
{first_ts=54000, cou=2, last_ts=56000, value=41.0, key=625}
{first_ts=54000, cou=2, last_ts=56000, value=44.0, key=314}
{first_ts=55000, cou=1, last_ts=56000, value=36.0, key=397}
{first_ts=55000, cou=1, last_ts=56000, value=36.0, key=762}
{first_ts=55000, cou=2, last_ts=57000, value=41.0, key=538}
{first_ts=56000, cou=1, last_ts=57000, value=41.0, key=654}
{first_ts=54000, cou=3, last_ts=57000, value=50.0, key=549}
{first_ts=56000, cou=1, last_ts=57000, value=35.0, key=578}
{first_ts=56000, cou=1, last_ts=57000, value=43.0, key=539}
{first_ts=54000, cou=3, last_ts=57000, value=42.0, key=491}
{first_ts=56000, cou=1, last_ts=57000, value=43.0, key=818}
{first_ts=56000, cou=1, last_ts=57000, value=37.0, key=751}
{first_ts=56000, cou=1, last_ts=57000, value=35.0, key=530}
